Exch,Exchange Segment,Group Name,Symbol,Token,Instrument Type,Instrument Name,Formatted Ins Name,Trading Symbol,Lot Size,Tick Size
NSE,nse_cm,EQ,SOLARINDS,13332,0,SOLAR INDUSTRIES (I) LTD,SOLARINDS-EQ,SOLARINDS-EQ,1,0.05
NSE,nse_cm,EQ,SOFTTECH,8266,0,SOFTTECH ENGINEERS LTD,SOFTTECH-EQ,SOFTTECH-EQ,1,0.05
NSE,nse_cm,EQ,SOBHA,13826,0,SOBHA LIMITED,SOBHA-EQ,SOBHA-EQ,1,0.05
NSE,nse_cm,EQ,SNOWMAN,4843,0,SNOWMAN LOGISTICS LTD.,SNOWMAN-EQ,SNOWMAN-EQ,1,0.01
NSE,nse_cm,EQ,SMSPHARMA,14329,0,SMS PHARMACEUTICALS LTD.,SMSPHARMA-EQ,SMSPHARMA-EQ,1,0.05
NSE,nse_cm,EQ,STEELCAS,6803,0,STEELCAST LIMITED,STEELCAS-EQ,STEELCAS-EQ,1,0.05
NSE,nse_cm,EQ,STEELCITY,10406,0,STEEL CITY SECURITIES LTD,STEELCITY-EQ,STEELCITY-EQ,1,0.01
NSE,nse_cm,EQ,STEELXIND,21339,0,STEEL EXCHANGE INDIA LTD,STEELXIND-EQ,STEELXIND-EQ,1,0.01
NSE,nse_cm,EQ,SWANENERGY,27095,0,SWAN ENERGY LIMITED,SWANENERGY-EQ,SWANENERGY-EQ,1,0.05
NSE,nse_cm,EQ,SVPGLOB,5020,0,SVP GLOBAL TEXTILES LTD,SVPGLOB-EQ,SVPGLOB-EQ,1,0.01
NSE,nse_cm,EQ,SUZLON,12018,0,SUZLON ENERGY LIMITED,SUZLON-EQ,SUZLON-EQ,1,0.01
NSE,nse_cm,EQ,SUYOG,24851,0,SUYOG TELEMATICS LIMITED,SUYOG-EQ,SUYOG-EQ,1,0.05
NSE,nse_cm,EQ,SUVIDHAA,2998,0,SUVIDHAA INFOSERVE LTD,SUVIDHAA-EQ,SUVIDHAA-EQ,1,0.01
NSE,nse_cm,EQ,SUVENPHAR,17945,0,SUVEN PHARMACEUTICALS LTD,SUVENPHAR-EQ,SUVENPHAR-EQ,1,0.05
NSE,nse_cm,EQ,SUVEN,11233,0,SUVEN LIFE SCIENCES LTD,SUVEN-EQ,SUVEN-EQ,1,0.01
NSE,nse_cm,EQ,SUTLEJTEX,13801,0,SUTLEJ TEXT & INDUS LTD,SUTLEJTEX-EQ,SUTLEJTEX-EQ,1,0.01
NSE,nse_cm,EQ,SURYODAY,2970,0,SURYODAY SMALL FIN BK LTD,SURYODAY-EQ,SURYODAY-EQ,1,0.01
NSE,nse_cm,EQ,SURYAROSNI,3375,0,SURYA ROSHNI LTD,SURYAROSNI-EQ,SURYAROSNI-EQ,1,0.05
NSE,nse_cm,EQ,SURYALAXMI,11852,0,SURYALAKSHMI COT MIL LTD,SURYALAXMI-EQ,SURYALAXMI-EQ,1,0.01
NSE,nse_cm,EQ,SURANASOL,21077,0,SURANA SOLAR LIMITED,SURANASOL-EQ,SURANASOL-EQ,1,0.01
NSE,nse_cm,EQ,SWARAJENG,3384,0,SWARAJ ENGINES LTD,SWARAJENG-EQ,SWARAJENG-EQ,1,0.05
NSE,nse_cm,EQ,SWELECTES,11909,0,SWELECT ENERGY SYS LTD,SWELECTES-EQ,SWELECTES-EQ,1,0.05
NSE,nse_cm,EQ,TANLA,13976,0,TANLA PLATFORMS LIMITED,TANLA-EQ,TANLA-EQ,1,0.05
NSE,nse_cm,EQ,TALBROAUTO,13648,0,TALBROS AUTO. COMP. LTD,TALBROAUTO-EQ,TALBROAUTO-EQ,1,0.05
NSE,nse_cm,EQ,TAKE,14917,0,TAKE SOLUTIONS LTD,TAKE-EQ,TAKE-EQ,1,0.01
NSE,nse_cm,EQ,TAJGVK,9354,0,TAJ GVK HOTELS & RESORTS,TAJGVK-EQ,TAJGVK-EQ,1,0.05
NSE,nse_cm,EQ,SYRMA,10793,0,SYRMA SGS TECHNOLOGY LTD,SYRMA-EQ,SYRMA-EQ,1,0.05
NSE,nse_cm,EQ,SYNGENE,10243,0,SYNGENE INTERNATIONAL LTD,SYNGENE-EQ,SYNGENE-EQ,1,0.05
NSE,nse_cm,EQ,SYNCOMF,11992,0,SYNCOM FORMU (I) LTD,SYNCOMF-EQ,SYNCOMF-EQ,1,0.01
NSE,nse_cm,EQ,SYMPHONY,24190,0,SYMPHONY LIMITED,SYMPHONY-EQ,SYMPHONY-EQ,1,0.05
NSE,nse_cm,EQ,SWSOLAR,12489,0,STRLNG & WIL REN ENE LTD,SWSOLAR-EQ,SWSOLAR-EQ,1,0.05
NSE,nse_cm,EQ,SIS,21501,0,SIS LIMITED,SIS-EQ,SIS-EQ,1,0.05
NSE,nse_cm,EQ,SURAJLTD,24966,0,SURAJ LIMITED,SURAJLTD-EQ,SURAJLTD-EQ,1,0.05
NSE,nse_cm,EQ,SUPRIYA,7390,0,SUPRIYA LIFESCIENCE LTD,SUPRIYA-EQ,SUPRIYA-EQ,1,0.05
NSE,nse_cm,EQ,SUMMITSEC,21275,0,SUMMIT SECURITIES LTD,SUMMITSEC-EQ,SUMMITSEC-EQ,1,0.05
NSE,nse_cm,EQ,SUMICHEM,17105,0,SUMITOMO CHEM INDIA LTD,SUMICHEM-EQ,SUMICHEM-EQ,1,0.05
NSE,nse_cm,EQ,SULA,13218,0,SULA VINEYARDS LIMITED,SULA-EQ,SULA-EQ,1,0.05
NSE,nse_cm,EQ,SUKHJITS,11804,0,SUKHJIT STARCH & CHEM LTD,SUKHJITS-EQ,SUKHJITS-EQ,1,0.05
NSE,nse_cm,EQ,SUDARSCHEM,3327,0,SUDARSHAN CHEMICAL INDS L,SUDARSCHEM-EQ,SUDARSCHEM-EQ,1,0.05
NSE,nse_cm,EQ,SUBROS,3324,0,SUBROS LIMITED,SUBROS-EQ,SUBROS-EQ,1,0.05
NSE,nse_cm,EQ,SUBEXLTD,967,0,SUBEX LTD,SUBEXLTD-EQ,SUBEXLTD-EQ,1,0.01
NSE,nse_cm,EQ,STYRENIX,19,0,STYRENIX PERFORMANCE LTD,STYRENIX-EQ,STYRENIX-EQ,1,0.05
NSE,nse_cm,EQ,STYLAMIND,5186,0,STYLAM INDUSTRIES LIMITED,STYLAMIND-EQ,STYLAMIND-EQ,1,0.05
NSE,nse_cm,EQ,STOVEKRAFT,2107,0,STOVE KRAFT LIMITED,STOVEKRAFT-EQ,STOVEKRAFT-EQ,1,0.05
NSE,nse_cm,EQ,STLTECH,9309,0,STERLITE TECHNOLOGIES LTD,STLTECH-EQ,STLTECH-EQ,1,0.01
NSE,nse_cm,EQ,STERTOOLS,4299,0,STERLING TOOLS LIMITED,STERTOOLS-EQ,STERTOOLS-EQ,1,0.05
NSE,nse_cm,EQ,SUNCLAY,20956,0,SUNDARAM CLAYTON LIMITED,SUNCLAY-EQ,SUNCLAY-EQ,1,0.05
NSE,nse_cm,EQ,SUNDARMHLD,2183,0,SUNDARAM FINANCE HOLD LTD,SUNDARMHLD-EQ,SUNDARMHLD-EQ,1,0.05
NSE,nse_cm,EQ,SUPREMEIND,3363,0,SUPREME INDUSTRIES LTD,SUPREMEIND-EQ,SUPREMEIND-EQ,1,0.05
NSE,nse_cm,EQ,SUPRAJIT,11689,0,SUPRAJIT ENGINEERING LTD,SUPRAJIT-EQ,SUPRAJIT-EQ,1,0.05
NSE,nse_cm,EQ,SUPERSPIN,3357,0,SUPER SPINNING MILLS LTD,SUPERSPIN-EQ,SUPERSPIN-EQ,1,0.01
NSE,nse_cm,EQ,SUPERHOUSE,20616,0,SUPERHOUSE LIMITED,SUPERHOUSE-EQ,SUPERHOUSE-EQ,1,0.01
NSE,nse_cm,EQ,SUNTV,13404,0,SUN TV NETWORK LIMITED,SUNTV-EQ,SUNTV-EQ,1,0.05
NSE,nse_cm,EQ,SUNTECK,17641,0,SUNTECK REALTY LIMITED,SUNTECK-EQ,SUNTECK-EQ,1,0.05
NSE,nse_cm,EQ,SUNPHARMA,3351,0,SUN PHARMACEUTICAL IND L,SUNPHARMA-EQ,SUNPHARMA-EQ,1,0.05
NSE,nse_cm,EQ,SUNFLAG,3348,0,SUNFLAG IRON AND STEEL CO,SUNFLAG-EQ,SUNFLAG-EQ,1,0.01
NSE,nse_cm,EQ,SUNDRMFAST,3345,0,SUNDRAM FASTENERS LTD,SUNDRMFAST-EQ,SUNDRMFAST-EQ,1,0.05
NSE,nse_cm,EQ,SUNDARMFIN,3339,0,SUNDARAM FINANCE LTD,SUNDARMFIN-EQ,SUNDARMFIN-EQ,1,0.05
NSE,nse_cm,EQ,TARACHAND,23512,0,TARA CHAND INFRA SOLN LTD,TARACHAND-EQ,TARACHAND-EQ,1,0.05
NSE,nse_cm,EQ,SIRCA,11050,0,SIRCA PAINT INDIA LIMITED,SIRCA-EQ,SIRCA-EQ,1,0.05
NSE,nse_cm,EQ,SINDHUTRAD,16859,0,SINDHU TRADE LINKS LTD,SINDHUTRAD-EQ,SINDHUTRAD-EQ,1,0.01
NSE,nse_cm,EQ,SBICARD,17971,0,SBI CARDS & PAY SER LTD,SBICARD-EQ,SBICARD-EQ,1,0.05
NSE,nse_cm,EQ,SBGLP,14139,0,SURATWWALA BUS GROUP LTD,SBGLP-EQ,SBGLP-EQ,1,0.01
NSE,nse_cm,EQ,SBFC,18026,0,SBFC FINANCE LIMITED,SBFC-EQ,SBFC-EQ,1,0.01
NSE,nse_cm,EQ,SBCL,4656,0,SHIVALIK BIMETAL CON. LTD,SBCL-EQ,SBCL-EQ,1,0.05
NSE,nse_cm,EQ,SBC,6792,0,SBC EXPORTS LIMITED,SBC-EQ,SBC-EQ,1,0.01
NSE,nse_cm,EQ,SAURASHCEM,3018,0,SAURASHTRA CEMENT LIMITED,SAURASHCEM-EQ,SAURASHCEM-EQ,1,0.01
NSE,nse_cm,EQ,SBILIFE,21808,0,SBI LIFE INSURANCE CO LTD,SBILIFE-EQ,SBILIFE-EQ,1,0.05
NSE,nse_cm,EQ,SATIN,10453,0,SATIN CREDIT NET LTD,SATIN-EQ,SATIN-EQ,1,0.01
NSE,nse_cm,EQ,SATIA,11045,0,SATIA INDUSTRIES LIMITED,SATIA-EQ,SATIA-EQ,1,0.01
NSE,nse_cm,EQ,SASTASUNDR,20063,0,SASTASUNDAR VENTURES LTD,SASTASUNDR-EQ,SASTASUNDR-EQ,1,0.05
NSE,nse_cm,EQ,SASKEN,11983,0,SASKEN TECHNOLOGIES LTD,SASKEN-EQ,SASKEN-EQ,1,0.05
NSE,nse_cm,EQ,SARVESHWAR,12913,0,SARVESHWAR FOODS LIMITED,SARVESHWAR-EQ,SARVESHWAR-EQ,1,0.01
NSE,nse_cm,EQ,SATINDLTD,12015,0,SAT INDUSTRIES LIMITED,SATINDLTD-EQ,SATINDLTD-EQ,1,0.01
NSE,nse_cm,EQ,SBIN,3045,0,STATE BANK OF INDIA,SBIN-EQ,SBIN-EQ,1,0.05
NSE,nse_cm,EQ,SCHAEFFLER,1011,0,SCHAEFFLER INDIA LIMITED,SCHAEFFLER-EQ,SCHAEFFLER-EQ,1,0.05
NSE,nse_cm,EQ,SELAN,13598,0,SELAN EXPLO. TECH LTD,SELAN-EQ,SELAN-EQ,1,0.05
NSE,nse_cm,EQ,SECURKLOUD,11058,0,SECUREKLOUD TECH LIMITED,SECURKLOUD-EQ,SECURKLOUD-EQ,1,0.01
NSE,nse_cm,EQ,SECMARK,19496,0,SECMARK CONSULTANCY LTD,SECMARK-EQ,SECMARK-EQ,1,0.01
NSE,nse_cm,EQ,SEAMECLTD,2616,0,SEAMEC LIMITED,SEAMECLTD-EQ,SEAMECLTD-EQ,1,0.05
NSE,nse_cm,EQ,SDBL,1338,0,SOM DIST & BREW LTD,SDBL-EQ,SDBL-EQ,1,0.01
NSE,nse_cm,EQ,SCPL,12072,0,SHEETAL COOL PRODUCTS LTD,SCPL-EQ,SCPL-EQ,1,0.05
NSE,nse_cm,EQ,SCILAL,23127,0,SHIPPING CORP OF ILA LTD,SCILAL-EQ,SCILAL-EQ,1,0.01
NSE,nse_cm,EQ,SCI,3048,0,SHIPPING CORP OF INDIA LT,SCI-EQ,SCI-EQ,1,0.05
NSE,nse_cm,EQ,SCHNEIDER,31234,0,SCHNEIDER ELECTRIC INFRA,SCHNEIDER-EQ,SCHNEIDER-EQ,1,0.05
NSE,nse_cm,EQ,SCHAND,20698,0,S CHAND AND COMPANY LTD,SCHAND-EQ,SCHAND-EQ,1,0.01
NSE,nse_cm,EQ,SAREGAMA,4892,0,SAREGAMA INDIA LIMITED,SAREGAMA-EQ,SAREGAMA-EQ,1,0.05
NSE,nse_cm,EQ,SALZERELEC,11399,0,SALZER ELECTRONICS LTD,SALZERELEC-EQ,SALZERELEC-EQ,1,0.05
NSE,nse_cm,EQ,SALSTEEL,11634,0,S.A.L. STEEL LTD.,SALSTEEL-EQ,SALSTEEL-EQ,1,0.01
NSE,nse_cm,EQ,SALONA,17351,0,SALONA COTSPIN LTD.,SALONA-EQ,SALONA-EQ,1,0.05
NSE,nse_cm,EQ,SALASAR,21362,0,SALASAR TECHNO ENGG. LTD.,SALASAR-EQ,SALASAR-EQ,1,0.01
NSE,nse_cm,EQ,SAKSOFT,11794,0,SAKSOFT LIMITED,SAKSOFT-EQ,SAKSOFT-EQ,1,0.05
NSE,nse_cm,EQ,SAKHTISUG,2969,0,SAKTHI SUGARS LTD,SAKHTISUG-EQ,SAKHTISUG-EQ,1,0.01
NSE,nse_cm,EQ,SAKAR,9539,0,SAKAR HEALTHCARE LIMITED,SAKAR-EQ,SAKAR-EQ,1,0.05
NSE,nse_cm,EQ,SAIL,2963,0,STEEL AUTHORITY OF INDIA,SAIL-EQ,SAIL-EQ,1,0.01
NSE,nse_cm,EQ,SAHYADRI,14900,0,SAHYADRI INDUSTRIES LTD,SAHYADRI-EQ,SAHYADRI-EQ,1,0.05
NSE,nse_cm,EQ,SAH,13689,0,SAH POLYMERS LIMITED,SAH-EQ,SAH-EQ,1,0.01
NSE,nse_cm,EQ,SAMBHAAV,4127,0,SAMBHAAV MEDIA LTD,SAMBHAAV-EQ,SAMBHAAV-EQ,1,0.01
NSE,nse_cm,EQ,SAMHI,18614,0,SAMHI HOTELS LIMITED,SAMHI-EQ,SAMHI-EQ,1,0.01
NSE,nse_cm,EQ,SARDAEN,17758,0,SARDA ENERGY & MIN LTD,SARDAEN-EQ,SARDAEN-EQ,1,0.05
NSE,nse_cm,EQ,SAPPHIRE,6718,0,SAPPHIRE FOODS INDIA LTD,SAPPHIRE-EQ,SAPPHIRE-EQ,1,0.05
NSE,nse_cm,EQ,SANSTAR,24582,0,SANSTAR LIMITED,SANSTAR-EQ,SANSTAR-EQ,1,0.01
NSE,nse_cm,EQ,SANSERA,5751,0,SANSERA ENGINEERING LTD,SANSERA-EQ,SANSERA-EQ,1,0.05
